Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
7,Arlington County Public Schools,5.10027E+11,200,Dr. Charles R. Drew Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,3500 South 23rd Street,,Arlington,VA,22206,703-228-5825,Membership,,
7,Arlington County Public Schools,5.10027E+11,111,Escuela Key Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Marleny  Perdomo ,855 N. Edison Street,,Arlington,VA,22205,703-228-4210,Membership,,
7,Arlington County Public Schools,5.10027E+11,619,Eunice Kennedy Shriver Program,,,Local Education Agency,Public center - Special Education,,,Shana  Curtis ,The Heights Building,1601 Wilson Blvd,Arlington,VA,22209,703-228-6440,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,100,Glebe Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Jamie  Borg ,1770 N. Glebe Road,,Arlington,VA,22207,703-228-6280,Membership,,
7,Arlington County Public Schools,5.10027E+11,623,Governor's Academy for Career and Technical Education in Arlington,,,Local Education Agency,Public center - Governor's STEM Academy,,,   ,816 South Walter Reed Drive,,Arlington,VA,22204,703-323-2263,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,611,Gunston Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Dr. Lori  Wiggins ,2700 S Lang St,,Arlington,VA,22206,703-228-6900,Membership,,
7,Arlington County Public Schools,5.10027E+11,616,HB Woodlawn Secondary Program,,,Local Education Agency,Public center - Alternative,,,Ms. Casey  Robinson ,4100 Vacation Lane,,Arlington,VA,22207,703-228-6363,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,614,Hoffman-Boston Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Heidi  Smith ,1415 S Queen St,,Arlington,VA,22204,703-228-5845,Membership,,
7,Arlington County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
7,Arlington County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
7,Arlington County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,613,Innovation Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Mary E. Begley ,1501 N. Lincoln Street,,Arlington,VA,22201,703-228-7670,Membership,,
7,Arlington County Public Schools,5.10027E+11,37,Integration Station,PK,PK,Local Education Agency,Public school - Preschool,Elementary,,   ,4420 Fairfax Drive,Suite 224,Arlington,VA,22203,703-462-5184,Membership,,
7,Arlington County Public Schools,5.10027E+11,440,Jamestown Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Michelle  McCarthy ,3700 N Delaware St,,Arlington,VA,22207,703-228-5275,Membership,,
7,Arlington County Public Schools,5.10027E+11,180,Jefferson Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Ms. Keisha  Boggan ,125 S Old Glebe Rd,,Arlington,VA,22204,703-228-5900,Membership,,
7,Arlington County Public Schools,5.10027E+11,500,Kenmore Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. David  McBride ,200 S Carlin Springs Rd,,Arlington,VA,22204,703-228-6800,Membership,,
7,Arlington County Public Schools,5.10027E+11,617,Langston High Continuation Program,,,Local Education Agency,Public center - Alternative,,4X4,Mr. Chip  Bonar ,2121 N Culpeper St,,Arlington,VA,22207,703-228-5295,Non-Membership,,
7,Arlington County Public Schools,,9997,Local Or Regional Jail,9,12,Local Education Agency,Local or Regional Jail,High,,Dr. Patt  Jones ,1425 N. Court House Road,,Arlington,VA,22201,703-228-8630,Membership,,
7,Arlington County Public Schools,5.10027E+11,460,Long Branch Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jessica  DaSilva ,33 N Fillmore St,,Arlington,VA,22201,703-228-4220,Membership,,
7,Arlington County Public Schools,5.10027E+11,627,Montessori Public School of Arlington,PK,5,Local Education Agency,Public school - Regular,Elementary,,Catharina  Genove ,701 S Highland Street,,Arlington,VA,22204,703-228-8871,Membership,,
7,Arlington County Public Schools,5.10027E+11,625,New Directions Alternative H.S. Program,,,Local Education Agency,Public center - Alternative,,,   ,2121 N. CULPEPER,,Arlington,VA,22207,703-228-2117,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,410,Nottingham Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Eileen  Gardner ,5900 Little Falls Road,,Arlington,VA,22207,703-228-5290,Membership,,
7,Arlington County Public Schools,5.10027E+11,360,Oakridge Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Lynne  Wright ,1414 24th St S,,Arlington,VA,22202,703-228-5840,Membership,,
7,Arlington County Public Schools,5.10027E+11,510,Randolph Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Carlos  Ramirez ,1306 S Quincy St,,Arlington,VA,22204,703-228-5830,Membership,,
7,Arlington County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,240,Swanson Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Renee  Harber ,5800 N Washington Blvd,,Arlington,VA,22205,703-228-5500,Membership,,
7,Arlington County Public Schools,5.10027E+11,420,Taylor Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,2600 N Stuart St,,Arlington,VA,22207,703-228-6275,Membership,,
7,Arlington County Public Schools,5.10027E+11,162,Technical Education & Career Center,,,Local Education Agency,Public center - Career and Technical Ed.,,8 A/B,Ms. Margaret  Chung ,816 S Walter Reed Dr,,Arlington,VA,22204,703-228-5800,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,211,Tuckahoe Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Mitch  Pascal ,6550 26th St N,,Arlington,VA,22213,703-228-5288,Membership,,
7,Arlington County Public Schools,,630,Virtual Learning Program,,,Local Education Agency,Public center - Virtual,,,   ,2110 Washington Boulevard,,Arlington,VA,22204,703-228-2423,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,450,Wakefield High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Dr. Chris  Willmore ,1325 S. Dinwiddie Street,,Arlington,VA,22206,703-228-6700,Membership,,
7,Arlington County Public Schools,5.10027E+11,80,Washington-Liberty High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Mr. Antonio  Hall ,1301 N Stafford St,,Arlington,VA,22201,703-228-6200,Membership,,
7,Arlington County Public Schools,5.10027E+11,480,Williamsburg Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Bryan  Boykin ,3600 N Harrison St,,Arlington,VA,22207,703-228-5450,Membership,,
7,Arlington County Public Schools,5.10027E+11,330,Yorktown High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Mr. Kevin  Clark ,5200 Yorktown Blvd,,Arlington,VA,22207,703-228-5400,Membership,,
8,Augusta County Public Schools,5.1003E+11,212,Beverley Manor Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Ms. Yvonne L. Howdyshell ,58 Cedar Green Rd,,Staunton,VA,24401,540-886-5806,Membership,,
8,Augusta County Public Schools,5.1003E+11,660,Buffalo Gap High,9,12,Local Education Agency,Public school - Regular,High,4X4,Dr. Ian H. Marshall ,1800 Buffalo Gap Hwy,,Swoope,VA,24479,540-337-6021,Membership,,
8,Augusta County Public Schools,5.1003E+11,30,Cassell Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Adam M McLaughlin ,1301 Rockfish Rd,,Waynesboro,VA,22980,540-946-7635,Membership,,
8,Augusta County Public Schools,5.1003E+11,140,Churchville Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Carrie R Barb ,3710 Churchville Ave,,Churchville,VA,24421,540-337-6036,Membership,,
8,Augusta County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
8,Augusta County Public Schools,5.1003E+11,370,Craigsville Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Crystal J. Coffman ,100 East First St,,Craigsville,VA,24430,540-997-9184,Membership,,
8,Augusta County Public Schools,5.1003E+11,842,Edward G. Clymore Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Fonda H. Morris ,184 Fort Defiance Rd,,Fort Defiance,VA,24437,540-245-5043,Membership,,
8,Augusta County Public Schools,5.1003E+11,670,Fort Defiance High,9,12,Local Education Agency,Public school - Regular,High,4X4,Raymond Alan Shull ,195 Fort Defiance Rd,,Fort Defiance,VA,24437,540-245-5050,Membership,,
8,Augusta County Public Schools,5.1003E+11,843,Guy K. Stump Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Shawn  Baska ,115 Draft Ave,,Stuarts Draft,VA,24477,540-337-1549,Membership,,
8,Augusta County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
8,Augusta County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
8,Augusta County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
8,Augusta County Public Schools,,9997,Middle River Regional Jail,9,12,Local Education Agency,Local or Regional Jail,High,,Mr. John  Lilly ,P. O. Box 2727,,Staunton,VA,24402,540-245-5100,Membership,,
8,Augusta County Public Schools,5.1003E+11,40,North River Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Lori A. Cox ,3395 Scenic Hwy,,Mount Solon,VA,22843,540-350-2463,Membership,,
8,Augusta County Public Schools,5.1003E+11,740,Riverheads Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. John L. Matherly ,239 Don Hanger Circle,,Staunton,VA,24401,540-337-2535,Membership,,
8,Augusta County Public Schools,5.1003E+11,680,Riverheads High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Matthew J Stevens ,19 Howardsville Rd,,Staunton,VA,24401,540-337-1921,Membership,,
8,Augusta County Public Schools,5.1003E+11,90,S. Gordon Stewart Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Mr. Michael  Conner ,118 Fort Defiance Rd,,Fort Defiance,VA,24437,540-245-5046,Membership,,
8,Augusta County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
8,Augusta County Public Schools,5.1003E+11,440,Stuarts Draft Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Tina W. Bowersox ,63 School Blvd,,Stuarts Draft,VA,24477,540-337-2951,Membership,,
8,Augusta County Public Schools,5.1003E+11,730,Stuarts Draft High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. James Franklin Nycum ,1028 Augusta Farm Rd,,Stuarts Draft,VA,24477,540-946-7600,Membership,,
8,Augusta County Public Schools,5.1003E+11,60,Stuarts Draft Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Mr. Charles Scott Musick ,1088 Augusta Farm Rd,,Stuarts Draft,VA,24477,540-946-7611,Membership,,
8,Augusta County Public Schools,5.1003E+11,640,Wilson Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Dawn P. Young ,127 Woodrow Wilson Ave,,Fishersville,VA,22939,540-245-5040,Membership,,
8,Augusta County Public Schools,5.1003E+11,720,Wilson Memorial High,9,12,Local Education Agency,Public school - Regular,High,4X4,Ms. Vanessa H Mundie ,189 Hornet Rd,,Fishersville,VA,22939,540-886-4286,Membership,,
8,Augusta County Public Schools,5.1003E+11,844,Wilson Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Ms. Sarah  Davis ,232 Hornet Road,,Fishersville,VA,22939,540-245-5185,Membership,,
9,Bath County Public Schools,5.10033E+11,140,Bath County High,8,12,Local Education Agency,Public school - Regular,High,7 period,Dr. Mike  Perry ,464 Charger Lane,,Hot Springs,VA,24445,540-839-2431,Membership,,
9,Bath County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
9,Bath County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
9,Bath County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
9,Bath County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
9,Bath County Public Schools,5.10033E+11,120,Millboro Elementary,PK,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Allison  Hicklin ,411 Church Street,,Millboro,VA,24460,540-997-5452,Membership,,
9,Bath County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
9,Bath County Public Schools,5.10033E+11,150,Valley Elementary,PK,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Jennifer  Taylor ,98 Panther Drive,,Hot Springs,VA,24445,540-839-5395,Membership,,
10,Bedford County Public Schools,,31,Bedford Connects Remote Learning,,,Local Education Agency,Public center - Virtual,,,   ,P.O Box 748,,Bedford,VA,24523,540-586-1045,Non-Membership,,
10,Bedford County Public Schools,5.10036E+11,5632,Bedford County Alternative Education Center,,,Local Education Agency,Public center - Alternative,,,Katherine  McNeely ,600 Edmund Street,,Bedford,VA,24523,540-586-1270,Non-Membership,,
10,Bedford County Public Schools,5.10036E+11,480,Bedford Elementary,2,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Martha  Bradt ,806 Tiger Trail Road,,Bedford,VA,24523,540-586-0275,Membership,,
10,Bedford County Public Schools,5.10036E+11,1200,Bedford Primary,PK,1,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Lisa  Dellis ,807 College St,,Bedford,VA,24523,540-586-8339,Membership,,
10,Bedford County Public Schools,5.10036E+11,30,Big Island Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Andy  Bliss ,1114 Schooldays Rd,,Big Island,VA,24526,434-299-5863,Membership,,
10,Bedford County Public Schools,5.10036E+11,160,Boonsboro Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jonathan  DeMaio ,1234 Eagle Circle,,Lynchburg,VA,24503,434-384-2881,Membership,,
10,Bedford County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
10,Bedford County Public Schools,5.10036E+11,500,Forest Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Lorri B. Manley ,One Scholar Lane,,Forest,VA,24551,434-525-2681,Membership,,
10,Bedford County Public Schools,5.10036E+11,1211,Forest Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Dr. Donnie  Norman ,100 Ashwood Dr,,Forest,VA,24551,434-525-6630,Membership,,
10,Bedford County Public Schools,5.10036E+11,1214,Goodview Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kim  Morris ,1374 Rivermont Academy Rd,,Goodview,VA,24095,540-892-5674,Membership,,
10,Bedford County Public Schools,5.10036E+11,600,Governor's Health Sciences Academy,,,Local Education Agency,Public center - Governor's Health Academy,,,   ,600 Edmund Street,,Bedford,VA,24523,540-586-3933,Non-Membership,,
10,Bedford County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
10,Bedford County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
10,Bedford County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
